CATEGORY,LINE_ITEM,PRODUCT_DESCRIPTION,PRODUCT_APPLICATION,QUANTITY,UNIT
EXTERIOR - TRIM,98,2 1/2" Door Trims,Door Trims,38,Lft
DOORS - EXTERIOR,99,20'-0"x7'-0" Garage Overhead Door,Overhead Door,1,Ea
DOORS - EXTERIOR,100,6'-0"x8'-0" Double Panel Door,Exterior Door,1,Ea
DOORS - EXTERIOR,101,11'-6"x8'-0" 4 Panel Sliding Door,Exterior Door,1,Ea
DOORS - EXTERIOR,102,7'-0"x8'-0" Sliding Door,Exterior Door,2,Ea
DOORS - INTERIOR,103,3'-0"x6'-8" Single Panel Door,Interior Door,3,Ea
DOORS - INTERIOR,104,4'-0"x6'-8" Double Panel Door,Interior Door,1,Ea
DOORS - INTERIOR,105,2'-6"x6'-8" Single Panel Door,Interior Door,7,Ea
DOORS - INTERIOR,106,3'-0"x8'-0" Single Panel Door,Interior Door,1,Ea
WINDOWS,107,3'-0"x8'-0" Fixed Picture Window,Exterior Window,5,Ea
WINDOWS,108,7'-0"x8'-0" Sliding Window,Exterior Window,1,Ea
WINDOWS,109,6'-0"x5'-0" Sliding Window,Exterior Window,2,Ea
WINDOWS,110,3'-0"x2'-0" Fixed Picture Window,Exterior Window,2,Ea
DRAINAGE,111,LF of Gutter,Gutter,146,Lft
DRAINAGE,112,Downspout (9'),Downspout,5,Ea
DRAINAGE,113,Downspout w/(16'),Downspout,2,Ea
